"dataset","dataset_md5","backend","n_cells","n_crossfit_evaluable","n_crossfit_operating_point_met","crossfit_operating_point_attainment_fraction","n_crossfit_abstained","crossfit_abstention_fraction","n_crossfit_exact_selected","crossfit_exact_selection_fraction","n_crossfit_method_agreement","crossfit_method_agreement_fraction","median_crossfit_over_oracle","p90_crossfit_over_oracle","n_package_auto_evaluable","n_package_auto_operating_point_met","package_auto_operating_point_attainment_fraction","n_package_auto_abstained","package_auto_abstention_fraction","n_package_auto_exact_selected","package_auto_exact_selection_fraction","n_package_auto_method_agreement","package_auto_method_agreement_fraction","median_package_auto_over_oracle","p90_package_auto_over_oracle"
"COIL20","9fb70f4d8b5340eaca78d93988405aca","cpu",36,36,36,1,0,0,5,0.138888888888889,31,0.861111111111111,1,1.06034473373008,0,0,0,36,1,0,NA,4,NA,NA,NA
"FashionMNIST","f9fb7867de23cbcc446c6718882134e0","cpu",36,36,36,1,0,0,0,0,36,1,1,1,0,0,0,36,1,0,NA,0,NA,NA,NA
"FlowRepository_FR-FCM-ZYRM_files","560c41ccc6a67aa034a44eb3b14c60ba","cpu",36,36,29,0.805555555555556,0,0,0,0,29,1,1,1,0,0,0,36,1,0,NA,0,NA,NA,NA
"MNIST","b63d063e7332b8e685cd6decd766326c","cpu",36,36,36,1,0,0,0,0,36,1,1,1,0,0,0,36,1,0,NA,0,NA,NA,NA
"MetRef","500e69ce3c5bebc2f57687c93426ed58","cpu",36,32,32,0.888888888888889,4,0.111111111111111,5,0.15625,28,0.875,1,1.78214285714286,0,0,0,36,1,0,NA,1,NA,NA,NA
"USPS","aaccc5d9ba97f10b4f1bca66d806b132","cpu",36,36,27,0.75,0,0,1,0.0277777777777778,27,0.771428571428571,1,1,0,0,0,36,1,0,NA,9,NA,NA,NA
"flow18","312918a562406500ae8ac89bd1e53b77","cpu",36,36,36,1,0,0,0,0,36,1,1,1,0,0,0,36,1,0,NA,0,NA,NA,NA
"imagenet","f63c177e7a638ee832dfa0a55fbbb69d","cpu",36,36,33,0.916666666666667,0,0,0,0,33,1,1,1,0,0,0,36,1,0,NA,0,NA,NA,NA
"mass41","5093294b672cfe86116807db072f190d","cpu",36,36,36,1,0,0,0,0,36,1,1,1,0,0,0,36,1,0,NA,0,NA,NA,NA
