"source_group","dataset","dataset_md5","n","p","metric","seed","query_n","query_sampling","reference_k","reference_backend_used","cpu_audit_n","cpu_audit_mean_recall","cpu_audit_min_recall","cpu_audit_max_distance_error","cpu_audit_pass","faissR_version","faissR_package_commit","faissR_image_commit","record_source"
"real","FashionMNIST","f9fb7867de23cbcc446c6718882134e0",70000,784,"cosine",20260807,1024,"unique_without_replacement",100,"cuda_native_exact_gpu",64,1,1,3.98606061935425e-07,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_cosine_1188333_20260807_042306/faissR_cuda_exact_reference_results.csv"
"real","FashionMNIST","f9fb7867de23cbcc446c6718882134e0",70000,784,"correlation",4,1024,"unique_without_replacement",100,"cuda_native_exact_gpu",64,1,1,4.08291816711426e-06,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_correlation_1188332_20260807_041220/faissR_cuda_exact_reference_results.csv"
"real","FashionMNIST","f9fb7867de23cbcc446c6718882134e0",70000,784,"correlation",20260706,1024,"unique_without_replacement",100,"cuda_native_exact_gpu",64,1,1,3.99351119995117e-06,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_correlation_1188332_20260807_041220/faissR_cuda_exact_reference_results.csv"
"real","FashionMNIST","f9fb7867de23cbcc446c6718882134e0",70000,784,"correlation",20260807,1024,"unique_without_replacement",100,"cuda_native_exact_gpu",64,1,1,4.58955764770508e-06,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_correlation_1188332_20260807_041220/faissR_cuda_exact_reference_results.csv"
"real","FlowRepository_FR-FCM-ZYRM_files","560c41ccc6a67aa034a44eb3b14c60ba",5220347,32,"euclidean",4,1024,"unique_without_replacement",100,"faiss_gpu_bfknn_l2",29,1,1,2.82059899048281e-05,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_euclidean_1188334_20260807_043321/faissR_cuda_exact_reference_results.csv"
"real","FlowRepository_FR-FCM-ZYRM_files","560c41ccc6a67aa034a44eb3b14c60ba",5220347,32,"euclidean",20260706,1024,"unique_without_replacement",100,"faiss_gpu_bfknn_l2",29,1,1,2.57504241718554e-05,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_euclidean_1188334_20260807_043321/faissR_cuda_exact_reference_results.csv"
"real","FlowRepository_FR-FCM-ZYRM_files","560c41ccc6a67aa034a44eb3b14c60ba",5220347,32,"euclidean",20260807,1024,"unique_without_replacement",100,"faiss_gpu_bfknn_l2",29,0.999655172413793,0.99,2.63497471095775e-05,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_euclidean_1188334_20260807_043321/faissR_cuda_exact_reference_results.csv"
"real","FlowRepository_FR-FCM-ZYRM_files","560c41ccc6a67aa034a44eb3b14c60ba",5220347,32,"cosine",4,1024,"unique_without_replacement",100,"cuda_native_exact_gpu",29,1,1,1.76951289176941e-07,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_cosine_1188333_20260807_042306/faissR_cuda_exact_reference_results.csv"
"real","FlowRepository_FR-FCM-ZYRM_files","560c41ccc6a67aa034a44eb3b14c60ba",5220347,32,"cosine",20260706,1024,"unique_without_replacement",100,"cuda_native_exact_gpu",29,1,1,1.71363353729248e-07,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_cosine_1188333_20260807_042306/faissR_cuda_exact_reference_results.csv"
"real","FlowRepository_FR-FCM-ZYRM_files","560c41ccc6a67aa034a44eb3b14c60ba",5220347,32,"cosine",20260807,1024,"unique_without_replacement",100,"cuda_native_exact_gpu",29,1,1,2.04890966415405e-07,TRUE,"0.99.21","0903532baf02b340a90921db18edc4deae5ea462","0903532baf02b340a90921db18edc4deae5ea462","references/real_cosine_1188333_20260807_042306/faissR_cuda_exact_reference_results.csv"
